Unnamed: 0,index,Start,Min,GT,ID,alpha,noise_level,iterations,alpha_hat
61.0,61,287.17654319819917,301.5766695436014,300.7152059189475,Noise in D_reported,0.04,0.05,3000,0.04
62.0,62,271.5715641669643,276.4735341813685,275.44291229790093,Noise in D_reported,0.04,0.05,3000,0.04
63.0,63,241.9340993271917,251.11695091615752,251.78302997981154,Noise in D_reported,0.04,0.05,3000,0.04
64.0,64,256.91067247355926,233.3187798910193,229.7662574437791,Noise in D_reported,0.04,0.05,3000,0.04
65.0,65,215.73236489521386,211.59831240073987,209.38201200902768,Noise in D_reported,0.04,0.05,3000,0.04
66.0,66,192.8682706061225,191.34573610653328,190.5888878475616,Noise in D_reported,0.04,0.05,3000,0.04
67.0,67,190.44542759230202,178.2358532785479,173.32351047366862,Noise in D_reported,0.04,0.05,3000,0.04
68.0,68,137.60222260844364,149.51589841335962,157.50778929880468,Noise in D_reported,0.04,0.05,3000,0.04
69.0,69,138.4540255659777,142.02476859390865,143.05468721618854,Noise in D_reported,0.04,0.05,3000,0.04
70.0,70,133.8689893967111,131.4877603332481,129.87268178971502,Noise in D_reported,0.04,0.05,3000,0.04
71.0,71,122.95120338415995,119.71728614702582,117.86911654123831,Noise in D_reported,0.04,0.05,3000,0.04
72.0,72,103.17705806162701,104.51682354194759,106.95264614435655,Noise in D_reported,0.04,0.05,3000,0.04
73.0,73,97.47051747730623,97.07716530077305,97.03494242686612,Noise in D_reported,0.04,0.05,3000,0.04
74.0,74,88.88368638211153,89.0275873101923,88.03184982996937,Noise in D_reported,0.04,0.05,3000,0.04
75.0,75,73.77693130897201,74.23408685032116,79.86406955042912,Noise in D_reported,0.04,0.05,3000,0.04
76.0,76,75.1249955960901,74.07480921472879,72.45752841763351,Noise in D_reported,0.04,0.05,3000,0.04
77.0,77,64.0753090090732,64.48675276346076,65.74353289036662,Noise in D_reported,0.04,0.05,3000,0.04
78.0,78,61.55307533739091,60.30868000719472,59.658718307688105,Noise in D_reported,0.04,0.05,3000,0.04
79.0,79,54.59634886593748,54.66508941456934,54.14489476714334,Noise in D_reported,0.04,0.05,3000,0.04
80.0,80,46.99091251642577,47.15510495391807,49.14881104427877,Noise in D_reported,0.04,0.05,3000,0.04
81.0,81,38.88322366002228,38.53363281334247,44.62187516348786,Noise in D_reported,0.04,0.05,3000,0.04
82.0,82,38.13331358826335,37.97675127294458,40.51985519019945,Noise in D_reported,0.04,0.05,3000,0.04
83.0,83,34.509058908804235,34.24916559003911,36.8025380258332,Noise in D_reported,0.04,0.05,3000,0.04
84.0,84,33.10442527380456,33.01380298970999,33.4334328802579,Noise in D_reported,0.04,0.05,3000,0.04
