b1	r1
0.421	0.228
0.422	0.232
0.422	0.232
0.421	0.238
0.421	0.238
0.421	0.238
0.421	0.238
0.421	0.238
0.414	0.242
0.414	0.242
0.414	0.242
0.422	0.234
0.423	0.232
0.423	0.232
0.418	0.234
0.418	0.234
0.424	0.232
0.424	0.232
0.424	0.232
0.416	0.235
0.42	0.235
0.42	0.235
0.415	0.235
0.415	0.235
0.415	0.235
0.419	0.24
0.419	0.24
0.419	0.24
0.419	0.236
0.415	0.241
0.415	0.241
0.421	0.234
0.421	0.234
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.415	0.241
0.415	0.241
0.413	0.244
0.413	0.244
0.413	0.244
0.413	0.244
0.413	0.244
0.413	0.244
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.421	0.23
0.418	0.232
0.414	0.239
0.42	0.237
0.414	0.238
0.414	0.238
0.414	0.238
0.421	0.237
0.421	0.237
0.421	0.237
0.421	0.237
0.421	0.237
0.415	0.242
0.415	0.235
0.415	0.235
0.415	0.235
0.415	0.235
0.415	0.235
0.419	0.237
0.417	0.237
0.417	0.237
0.417	0.237
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.233
0.418	0.242
0.422	0.23
0.422	0.23
0.415	0.243
0.417	0.235
0.417	0.235
0.417	0.235
0.416	0.236
0.416	0.236
0.42	0.235
0.42	0.235
0.419	0.229
0.419	0.229
0.419	0.229
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.413	0.242
0.418	0.238
0.418	0.238
0.418	0.238
0.419	0.234
0.419	0.241
0.419	0.241
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.421	0.234
0.413	0.237
0.413	0.237
0.413	0.237
0.42	0.235
0.419	0.237
0.417	0.234
0.417	0.234
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.42	0.235
0.415	0.236
0.422	0.227
0.419	0.23
0.419	0.23
0.419	0.233
0.419	0.233
0.419	0.242
0.419	0.242
0.419	0.242
0.419	0.242
0.42	0.236
0.42	0.236
0.42	0.236
0.42	0.236
0.419	0.233
0.419	0.233
0.419	0.233
0.416	0.24
0.416	0.24
0.416	0.24
0.417	0.237
0.417	0.237
0.417	0.237
0.418	0.23
0.418	0.23
0.416	0.236
0.42	0.23
0.417	0.236
0.417	0.236
0.417	0.236
0.417	0.236
0.417	0.236
0.415	0.239
0.415	0.239
0.415	0.239
0.415	0.239
0.414	0.245
0.417	0.24
0.412	0.245
0.412	0.245
0.412	0.245
0.412	0.245
