b1	r1
0.403	0.235
0.403	0.235
0.391	0.25
0.39	0.253
0.398	0.246
0.398	0.246
0.393	0.247
0.393	0.247
0.395	0.247
0.404	0.231
0.404	0.231
0.404	0.231
0.396	0.241
0.396	0.241
0.389	0.252
0.389	0.252
0.389	0.252
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.399	0.235
0.397	0.243
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.4	0.242
0.395	0.243
0.395	0.243
0.395	0.243
0.395	0.243
0.395	0.243
0.396	0.242
0.396	0.242
0.393	0.254
0.393	0.254
0.393	0.254
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.401	0.24
0.397	0.24
0.397	0.24
0.403	0.239
0.399	0.242
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.402	0.238
0.392	0.255
0.39	0.252
0.39	0.252
0.39	0.252
0.39	0.252
0.39	0.252
0.39	0.252
0.39	0.252
0.39	0.252
0.388	0.253
0.388	0.253
0.385	0.259
0.385	0.259
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.396	0.246
0.396	0.246
0.39	0.253
0.39	0.253
0.39	0.253
0.39	0.253
0.39	0.253
0.39	0.253
0.39	0.253
0.394	0.244
0.394	0.244
0.394	0.244
0.394	0.244
0.388	0.258
0.393	0.248
0.393	0.248
0.393	0.248
0.393	0.248
0.39	0.255
0.39	0.255
0.401	0.238
0.401	0.238
0.401	0.238
0.39	0.248
0.39	0.248
0.39	0.248
0.39	0.248
0.396	0.248
0.396	0.248
0.396	0.241
0.389	0.258
0.386	0.265
0.392	0.254
0.392	0.254
0.392	0.254
0.392	0.254
0.392	0.254
0.392	0.254
0.392	0.254
0.387	0.263
0.387	0.263
0.387	0.263
0.387	0.263
0.387	0.263
0.387	0.263
0.387	0.263
0.387	0.263
0.39	0.254
0.39	0.254
0.386	0.26
0.386	0.26
0.399	0.236
0.399	0.236
0.399	0.236
0.394	0.254
0.394	0.244
0.389	0.251
0.397	0.241
0.397	0.241
0.39	0.254
0.39	0.254
0.392	0.252
0.395	0.244
0.389	0.249
0.389	0.249
0.389	0.249
0.389	0.249
0.389	0.249
0.389	0.249
0.396	0.246
0.396	0.246
0.394	0.244
0.394	0.25
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.393	0.247
0.391	0.25
0.391	0.25
0.391	0.25
0.391	0.25
0.391	0.25
0.391	0.25
0.391	0.25
0.399	0.244
0.399	0.244
0.394	0.248
0.394	0.248
0.395	0.243
0.385	0.26
0.386	0.259
0.386	0.259
0.401	0.241
0.401	0.241
0.386	0.263
0.386	0.263
0.386	0.263
0.394	0.253
0.394	0.253
0.386	0.253
0.386	0.253
0.395	0.243
0.395	0.243
0.399	0.242
0.399	0.242
0.399	0.242
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.249
0.395	0.249
0.395	0.249
0.395	0.249
0.395	0.249
0.391	0.252
0.391	0.252
0.391	0.252
0.398	0.24
0.398	0.24
0.398	0.24
0.388	0.259
0.388	0.259
0.388	0.259
0.388	0.259
0.385	0.259
0.385	0.259
0.385	0.259
0.39	0.252
0.39	0.252
0.39	0.252
0.39	0.252
0.393	0.253
0.393	0.253
0.398	0.24
0.398	0.24
0.398	0.24
0.398	0.24
0.388	0.257
0.388	0.257
0.397	0.239
0.391	0.251
0.396	0.242
0.396	0.242
0.396	0.242
0.399	0.24
0.399	0.24
0.399	0.24
0.399	0.24
0.399	0.24
0.399	0.24
0.399	0.24
0.387	0.258
0.387	0.258
0.395	0.248
0.395	0.248
0.395	0.248
0.395	0.248
0.395	0.248
0.396	0.242
0.395	0.243
0.4	0.239
0.392	0.251
0.392	0.251
0.392	0.251
0.394	0.244
0.394	0.244
0.394	0.244
0.394	0.244
0.394	0.244
0.389	0.255
0.388	0.256
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.392	0.25
0.397	0.241
0.39	0.251
0.394	0.25
0.394	0.25
0.39	0.253
0.39	0.253
0.404	0.233
0.404	0.233
0.404	0.233
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.239
0.395	0.239
0.395	0.249
0.395	0.249
0.391	0.253
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.386	0.263
0.395	0.247
0.395	0.247
0.395	0.247
0.39	0.258
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.398	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.395	0.241
0.397	0.249
0.397	0.249
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.256
0.392	0.256
0.392	0.256
0.392	0.256
0.392	0.256
0.392	0.256
0.392	0.256
0.392	0.256
0.392	0.256
0.395	0.245
0.395	0.245
0.395	0.245
0.395	0.245
0.389	0.257
0.389	0.257
0.389	0.257
0.389	0.257
0.384	0.26
0.384	0.26
0.384	0.26
0.384	0.26
0.384	0.26
0.384	0.26
0.384	0.26
0.384	0.26
0.395	0.25
0.395	0.25
0.395	0.25
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.393	0.249
0.391	0.255
0.391	0.255
0.391	0.255
0.399	0.243
0.399	0.243
0.4	0.237
0.388	0.26
0.388	0.26
0.388	0.26
0.388	0.26
0.387	0.257
0.387	0.257
0.387	0.257
0.391	0.248
0.391	0.248
0.391	0.248
0.391	0.248
0.389	0.251
0.401	0.238
0.401	0.238
0.401	0.238
0.401	0.238
0.401	0.238
0.401	0.238
0.401	0.238
0.397	0.245
0.397	0.245
0.397	0.245
0.397	0.245
0.401	0.241
0.388	0.253
0.391	0.248
0.391	0.248
0.391	0.248
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.392	0.253
0.393	0.256
0.397	0.249
0.395	0.252
0.394	0.246
0.397	0.24
0.397	0.24
0.389	0.255
0.389	0.255
0.391	0.25
0.391	0.25
0.391	0.25
0.391	0.249
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.246
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.394	0.249
0.393	0.25
0.393	0.25
0.392	0.252
0.392	0.252
0.392	0.252
0.392	0.252
0.394	0.242
0.394	0.242
0.394	0.242
0.394	0.249
0.398	0.243
0.398	0.243
0.394	0.248
0.393	0.251
0.393	0.251
0.398	0.237
0.398	0.237
0.398	0.237
0.398	0.237
0.398	0.237
0.398	0.237
0.392	0.25
0.392	0.25
0.392	0.25
0.398	0.245
0.398	0.245
0.398	0.245
0.395	0.251
0.395	0.251
0.395	0.251
0.395	0.251
0.389	0.256
0.394	0.244
0.401	0.238
0.401	0.238
0.401	0.238
0.392	0.253
0.392	0.253
0.392	0.253
0.397	0.25
0.395	0.251
0.391	0.254
0.394	0.248
0.389	0.252
0.389	0.252
0.396	0.246
0.393	0.256
0.393	0.256
0.393	0.256
0.392	0.248
0.399	0.249
0.398	0.242
0.386	0.253
